Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.384800,-109.050000,0.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",155.076400,-109.050000,0.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.792400,-121.920000,180.000000,top
"C10","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",175.971200,-121.666000,180.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.492400,-121.666000,180.000000,top
"D1","BAT54","D_SMA_Handsoldering",178.546000,-108.694400,0.000000,top
"R1","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-118.414800,180.000000,top
"R2","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-116.890800,180.000000,top
"R3","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-115.366800,180.000000,top
"R4","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-113.334800,180.000000,top
"R5","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-111.810800,180.000000,top
"R6","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-110.286800,180.000000,top
"R7","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-108.254800,180.000000,top
"R8","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-106.730800,180.000000,top
"R9","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-105.206800,180.000000,top
"R10","47","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-101.650800,180.000000,top
"R11","47","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",117.269900,-103.174800,180.000000,top
"R12","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",169.402000,-105.113000,-90.000000,top
"R13","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.482000,-105.113000,-90.000000,top
"R14","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.942000,-105.113000,-90.000000,top
"SW1","Pico Reset","SW_Push_1P1T_NO_6x6mm_H9.5mm",125.476000,-104.521000,180.000000,top
"U1","74LCX16245","TSSOP-48_6.1x12.5mm_P0.5mm",128.558800,-115.443000,90.000000,top
"U2","74LCX16245","TSSOP-48_6.1x12.5mm_P0.5mm",150.250400,-115.697000,90.000000,top
"U7","AZ1117-3.3","SOT-223-3_TabPin2",178.765000,-115.834000,90.000000,top
